0022301194,1610612756,Phoenix Suns,1629626,Bol Bol,,,93.3,126.7,-33.3,0.0,0.0,0.0,0.294,15.0,0.667,0.667,0.109
0022301194,1610612756,Phoenix Suns,201152,Thaddeus Young,,,106.3,147.1,-40.8,0.0,0.0,0.0,0.222,16.0,1.0,1.025,-0.02
0022301194,1610612756,Phoenix Suns,1629006,Josh Okogie,,,120.0,170.0,-50.0,0.0,0.0,0.0,0.273,10.0,0.833,0.833,0.193
0022301194,1610612756,Phoenix Suns,202738,Isaiah Thomas,,,120.0,170.0,-50.0,0.25,0.0,25.0,0.273,10.0,0.5,0.5,0.07
0022301194,1610612756,Phoenix Suns,1630240,Saben Lee,,,120.0,170.0,-50.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
0022301194,1610612756,Phoenix Suns,1629642,Nassir Little,,,120.0,170.0,-50.0,0.0,0.0,0.0,0.273,10.0,0.667,0.667,0.105
0022301194,1610612756,Phoenix Suns,1631223,David Roddy,,,133.3,150.0,-16.7,0.2,0.0,100.0,0.0,9.0,0.0,0.0,0.04
0022301194,1610612756,Phoenix Suns,1630688,Ish Wainright,,DNP - Coach's Decision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022301194,1610612750,Minnesota Timberwolves,1630183,Jaden McDaniels,F,,113.0,133.3,-20.4,0.059,0.33,8.3,0.18,54.0,0.357,0.381,-0.027
0022301194,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,F,,103.5,135.1,-31.6,0.125,0.4,11.8,0.231,57.0,0.438,0.512,0.017
0022301194,1610612750,Minnesota Timberwolves,203497,Rudy Gobert,C,,109.7,132.8,-23.1,0.071,1.0,7.1,0.191,62.0,0.778,0.81,0.178
0022301194,1610612750,Minnesota Timberwolves,1630162,Anthony Edwards,G,,102.9,131.9,-28.9,0.211,0.8,21.1,0.197,68.0,0.429,0.618,0.084
0022301194,1610612750,Minnesota Timberwolves,201144,Mike Conley,G,,109.6,131.5,-21.9,0.154,0.67,15.4,0.19,52.0,1.0,1.022,0.175
0022301194,1610612750,Minnesota Timberwolves,1629675,Naz Reid,,,97.4,137.5,-40.1,0.111,0.25,7.7,0.293,39.0,0.625,0.625,0.047
0022301194,1610612750,Minnesota Timberwolves,1629638,Nickeil Alexander-Walker,,,97.1,114.3,-17.1,0.182,0.0,33.3,0.111,35.0,0.375,0.375,0.055
