0022301177,1610612763,Memphis Grizzlies,118.8,119.4,-0.6,0.442,1.27,13.7,101.0,0.542,0.576
0022301177,1610612747,Los Angeles Lakers,119.4,118.8,0.6,0.595,1.32,17.9,103.0,0.599,0.641
0022301173,1610612738,Boston Celtics,129.7,98.0,31.7,0.63,5.67,22.7,101.0,0.587,0.597
0022301173,1610612766,Charlotte Hornets,98.0,129.7,-31.7,0.625,1.0,15.9,100.0,0.52,0.572
0022301191,1610612753,Orlando Magic,120.2,92.6,27.6,0.643,1.93,20.1,94.0,0.559,0.605
0022301191,1610612749,Milwaukee Bucks,92.6,120.2,-27.6,0.533,0.94,13.5,95.0,0.447,0.517
0022301186,1610612738,Boston Celtics,124.5,116.2,8.3,0.569,1.71,20.1,106.0,0.663,0.672
0022301186,1610612764,Washington Wizards,116.2,124.5,-8.3,0.673,2.75,21.7,105.0,0.544,0.568
0022301187,1610612739,Cleveland Cavaliers,113.4,123.7,-10.3,0.682,2.14,21.3,97.0,0.559,0.567
0022301187,1610612766,Charlotte Hornets,123.7,113.4,10.3,0.783,3.6,25.4,97.0,0.61,0.626
0022301199,1610612746,LA Clippers,98.1,108.4,-10.3,0.561,1.92,15.7,107.0,0.433,0.471
0022301199,1610612745,Houston Rockets,108.4,98.1,10.3,0.62,1.72,19.6,107.0,0.539,0.531
0022301190,1610612752,New York Knicks,114.3,114.4,-0.1,0.587,1.29,18.2,105.0,0.571,0.599
0022301190,1610612741,Chicago Bulls,114.4,114.3,0.1,0.51,2.08,17.2,104.0,0.525,0.551
0022301197,1610612759,San Antonio Spurs,123.0,94.1,28.9,0.673,2.36,22.9,100.0,0.621,0.633
0022301197,1610612765,Detroit Pistons,94.1,123.0,-28.9,0.472,1.21,12.9,101.0,0.435,0.471
0022301200,1610612758,Sacramento Kings,122.2,82.8,39.4,0.674,2.07,20.4,99.0,0.569,0.612
0022301200,1610612757,Portland Trail Blazers,82.8,122.2,-39.4,0.581,1.0,12.7,99.0,0.352,0.389
